"Your Ac XX0 is debited with INR0.0 NFS*CASH WDL*0-0-0. Avbl Bal INR0,0.0 To bank on phone with iMobile, click mobile.icicibank.com/dl",txn
"Recapture the memories of your marriage!! ""Balzo- Collections in Silver"" presents Flat 0% off on Tanmaniya. Customer Care: +0",others
Ride Ola Auto at flat Rs 0 for 0km! Enjoy doorstep pickup & hassle-free. No code required. No extra charges. Limited time offer! Book now - bit.ly/0olacabs,offer
Ride Non-AC? Kaali Peeli at Rs 0 for 0 km & AC Kaali Peeli at Rs 0 for 0 km. Go on book now and enjoy an affordable ride to your destination bit.ly/0olacabs,others
"Dear Customer, we have received the payment of Rs.0.0 for your Airtel number 0 through Netbanking.Remaining payment due: Rs.0.0. Thank you.",txn
" Hi, your Paytm order # 0 with item Lee Cooper Black Formal Shoes (Euro Size-0) of Rs 0 is successful. Your current Paytm wallet balance is Rs. 0.0  Paytm Mahabazaar (0-0th Jan), Upto 0% cashback on brands. http://m.p-y.tm/m0m Shop Now",txn
Hurry! Last 0 days! Get Rs.0 Jio Cashback Voucher on Jio Prime and Jio Recharges with JioMoney. T&C apply. Download: bit.ly/JioMoney,offer
"Hi, Nikunj Kapil’s Salon thanks for visiting us. Get Complimentary Skin Consultation& 0rs voucher FREE . Call 0",others
Your MF SIP order for Client ID 0 for Rs.0 in FRANKLIN INDIA PRIMA PLUSGROWTH is due on 0-APR-0. Please maintain sufficient funds in your linked bank account .,txn
"Dear Customer, As per our latest updates, the shipment for the Booking ID: MCAS0YQJ0DR has been delivered to Manish Mahajan with Conatct No 0 on  0-0-0 0:0:0. For further queries, call 0 0.",others
A/c N0 Dr for INR 0.0 CardTxn:MAST-POS/VISH. A/c Bal INR 0.0 (incl. of unclrd chqs) on 0FEB 0:0hrs. Call 0 if card not used by you,txn
Your handset has been configured and ready to use GPRS services: WAP Browsing GPRS and Internet Browsing GPRS. Reliance,others
"Dear Customer, use UPI on iMobile and get 0% cashback at select HPCL petrol pumps. Offer valid till 0-Mar-0. Details at https://goo.gl/0YFs0 . T&C.",offer
Say hello to Vodafone SuperNet 0G in Mumbai. Enjoy FREE roaming across India! Now get all incoming calls free. No extra roaming charges for Internet.,others
"Dear Customer, Welcome to Jio-Delhi. For queries or support, please call JioCare on 0 from your Jio number or on 0-0-0 from any number. Have a pleasant stay.Thank you,Team Jio",others
